lang_id,canonical_name,source_flags,types,extensions,first_appeared,homepage,paradigms,typing,designed_by,influenced_by,hello_world,linguist_key,evidence_urls,notes,in_pldb,in_linguist,in_wikipedia,in_esolang,esolang_url,has_extensions,has_paradigm,has_typing,has_hello_world,source_count,alias_count,hyperpolyglot_name,in_hyperpolyglot,hp_type,hp_group,hp_color,pygments_name,in_pygments,pygments_module,pygments_class,pygments_aliases,pygments_filenames,pygments_mimetypes,in_rosettacode,rosettacode_name,rosettacode_url,rosettacode_summary,rosettacode_tasks_count
id-0ab8318a,!,esolang,esolang,,,,,,,,False,,https://esolangs.org/wiki/Category:Languages,,False,False,False,True,https://esolangs.org/wiki/%21,False,False,False,False,1,1,,False,,,,,False,,,,,,False,,,,0
id-b4613f86,!!,esolang,esolang,,,,,,,,False,,https://esolangs.org/wiki/Category:Languages,,False,False,False,True,https://esolangs.org/wiki/%21%21,False,False,False,False,1,1,,False,,,,,False,,,,,,False,,,,0
id-9a7b006d,!!!,esolang,esolang,,,,,,,,False,,https://esolangs.org/wiki/Category:Languages,,False,False,False,True,https://esolangs.org/wiki/%21%21%21,False,False,False,False,1,1,,False,,,,,False,,,,,,False,,,,0
id-f6bb43b4,!!!!,esolang,esolang,,,,,,,,False,,https://esolangs.org/wiki/Category:Languages,,False,False,False,True,https://esolangs.org/wiki/%21%21%21%21,False,False,False,False,1,1,,False,,,,,False,,,,,,False,,,,0
id-a68c1200,!(),esolang,esolang,,,,,,,,False,,https://esolangs.org/wiki/Category:Languages,,False,False,False,True,https://esolangs.org/wiki/%21%28%29,False,False,False,False,1,1,,False,,,,,False,,,,,,False,,,,0
id-f24ee728,!/*,esolang,esolang,,,,,,,,False,,https://esolangs.org/wiki/Category:Languages,,False,False,False,True,https://esolangs.org/wiki/%21%2F%2A,False,False,False,False,1,1,,False,,,,,False,,,,,,False,,,,0
id-74f64b50,!Мова,esolang,esolang,,,,,,,,False,,https://esolangs.org/wiki/Category:Languages,,False,False,False,True,https://esolangs.org/wiki/%21%D0%9C%D0%BE%D0%B2%D0%B0,False,False,False,False,1,1,,False,,,,,False,,,,,,False,,,,0
id-41ae1c72,!한국어,esolang,esolang,,,,,,,,False,,https://esolangs.org/wiki/Category:Languages,,False,False,False,True,https://esolangs.org/wiki/%21%ED%95%9C%EA%B5%AD%EC%96%B4,False,False,False,False,1,1,,False,,,,,False,,,,,,False,,,,0
id-3cdf2936,$,esolang,esolang,,,,,,,,False,,https://esolangs.org/wiki/Category:Languages,,False,False,False,True,https://esolangs.org/wiki/%24,False,False,False,False,1,1,,False,,,,,False,,,,,,False,,,,0
id-7b0bf971,$ $,esolang,esolang,,,,,,,,False,,https://esolangs.org/wiki/Category:Languages,,False,False,False,True,https://esolangs.org/wiki/%24_%24,False,False,False,False,1,1,,False,,,,,False,,,,,,False,,,,0
